15/05/2019 09:30:3,0,22,-9,0.89,-1,39,101,92
15/05/2019 09:30:4,0,22,-9,0.89,-1,39,102,92
15/05/2019 09:30:5,0,22,-10,0.89,-1,39,101,92
15/05/2019 09:31:00,0,22,-9,0.89,-1,38,101,92
15/05/2019 09:31:1,0,22,-11,0.89,-1,39,101,91
15/05/2019 09:31:2,0,22,-13,0.89,-1,39,101,93
15/05/2019 09:31:3,0,22,-16,0.89,-1,38,101,92
15/05/2019 09:31:4,0,22,-19,0.89,-1,38,101,92
15/05/2019 09:31:5,0,21,-21,0.89,-1,37,101,91
15/05/2019 09:32:00,0,21,-19,0.89,-1,38,101,92
15/05/2019 09:32:1,0,21,-20,0.89,-1,38,101,92
15/05/2019 09:32:2,0,22,-19,0.89,-1,38,100,92
15/05/2019 09:32:3,0,22,-20,0.89,-1,37,101,92
15/05/2019 09:32:4,0,22,-20,0.89,-1,37,101,92
15/05/2019 09:32:5,0,22,-20,0.89,-1,37,101,92
15/05/2019 09:33:00,0,22,-20,0.89,-1,37,101,92
15/05/2019 09:33:1,0,22,-20,0.89,-1,37,101,92
15/05/2019 09:33:2,0,22,-19,0.89,-1,37,101,92
15/05/2019 09:33:3,0,21,-20,0.89,-1,38,101,91
15/05/2019 09:33:4,0,21,-20,0.89,-1,38,101,93
15/05/2019 09:33:5,0,21,-20,0.89,-1,38,101,92
15/05/2019 09:34:00,0,21,-20,0.89,-1,39,101,92
15/05/2019 09:34:1,0,21,-21,0.89,-1,39,101,93
15/05/2019 09:34:2,0,21,-20,0.89,-1,39,101,92
15/05/2019 09:34:3,0,21,-21,0.89,-1,39,101,91
15/05/2019 09:34:4,0,21,-19,0.89,-1,39,101,92
15/05/2019 09:35:00,0,22,-20,0.89,-1,38,100,92
15/05/2019 09:35:1,0,22,-20,0.89,-1,39,102,92
15/05/2019 09:35:2,0,23,-20,0.89,-1,39,102,92
15/05/2019 09:35:3,0,23,-21,0.89,-1,39,102,92
15/05/2019 09:35:4,0,23,-20,0.89,-1,39,102,92
15/05/2019 09:35:5,0,23,-20,0.89,-1,39,102,91
15/05/2019 09:36:00,0,24,-19,0.89,-1,38,102,92
15/05/2019 09:36:1,0,24,-21,0.89,-1,37,102,91
15/05/2019 09:36:2,0,24,-20,0.89,-1,35,101,91
15/05/2019 09:36:3,0,24,-19,0.89,-1,37,101,92
15/05/2019 09:36:4,43,26,-20,0.89,-1,36,101,91
15/05/2019 09:36:5,122,26,-18,0.89,-1,39,101,92
15/05/2019 09:37:00,63,24,-17,0.89,-1,41,101,91
15/05/2019 09:37:1,26,23,-16,0.89,-1,36,100,92
15/05/2019 09:37:2,11,23,-16,0.89,-1,36,100,91
15/05/2019 09:37:3,59,24,-16,0.89,-1,37,101,92
15/05/2019 09:37:4,33,24,-15,0.89,-1,39,101,91
15/05/2019 09:37:5,22,24,-16,0.89,-1,35,101,91
15/05/2019 09:38:00,156,27,-15,0.89,-1,36,101,91
15/05/2019 09:38:1,162,27,-14,0.89,-1,42,100,91
15/05/2019 09:38:2,285,34,-14,0.89,-1,39,100,92
15/05/2019 09:38:3,285,35,-17,0.89,-1,35,101,91
15/05/2019 09:38:4,137,32,-18,0.89,-1,26,101,92
15/05/2019 09:38:5,109,31,-17,0.89,-1,26,101,91
